lambda,pbSimulation,pdSimulation,pbAnalytical,pdAnalytical
10.000002,0.4904156,0.4105035,0.4853189043893666,0.414681122313672
10.100002,0.4943617,0.4075328,0.48975696504649807,0.411233161199637
10.200003,0.499363,0.4035453,0.49412563395780307,0.4078351831487961
10.300003,0.5034159,0.4002409,0.4984262770638606,0.4044863735533399
10.400003,0.5079545,0.3968572,0.5026602378834831,0.4011859476791777
10.500004,0.5120058,0.393559,0.5068288369792397,0.3979331064967385
10.600004,0.5159498,0.3906371,0.5109333715471851,0.3947270445416572
10.700005,0.5201043,0.3874495,0.5149751151168791,0.3915669800169348
10.800005,0.5241838,0.3841154,0.5189553173491628,0.3884521326433015
10.900005,0.5280666,0.3810772,0.5228752039204071,0.3853817237748641
11.000006,0.5319514,0.37791,0.5267359764830799,0.382354983889032
11.100006,0.535469,0.3753197,0.5305388126934971,0.3793711451081091
11.2000065,0.539326,0.3723216,0.5342848662985475,0.37642947091482615
11.300007,0.542988,0.3693513,0.5379752672740145,0.3735292113104808
11.400007,0.5468391,0.3664038,0.5416111220078702,0.37066963988449686
11.500008,0.5506149,0.3634749,0.545193513522599,0.3678500237897384
11.600008,0.553666,0.3608831,0.5487235017312209,0.36506966073935265
11.700008,0.5573318,0.3581118,0.5522021237222354,0.3623278563700536
11.800009,0.5608387,0.3552638,0.5556303940692144,0.3596239090313418
11.900009,0.5641704,0.3527898,0.5590093051612164,0.35695714670796974
12.00001,0.5672749,0.3502742,0.5623398275506027,0.3543269043203635
12.10001,0.570403,0.3478457,0.5656229103152065,0.3517325308130177
12.20001,0.5735772,0.3452811,0.568859481432132,0.3491733738795194
12.300011,0.576939,0.3426315,0.5720504481607602,0.34664880938185205
12.400011,0.5799662,0.3400683,0.5751966974328092,0.3441582111580014
12.500011,0.5832186,0.3376314,0.5782990962475313,0.3417009804290704
12.600012,0.5860913,0.3355044,0.5813584920703585,0.3392765006971423
12.700012,0.5891721,0.3331868,0.5843757132334899,0.3368842043999103
12.800013,0.5920044,0.3306688,0.5873515693371039,0.33452350545423415
12.900013,0.5952517,0.3279805,0.5902868516500286,0.33219384355894643
13.000013,0.5978126,0.3258893,0.5931823335088479,0.3298946688945815
13.100014,0.6006293,0.323796,0.5960387707145521,0.3276254342761392
13.200014,0.60341,0.321557,0.5988569019259532,0.3253856022102466
13.3000145,0.6062458,0.3193884,0.6016374490491888,0.3231746668573916
13.400015,0.6091198,0.3171121,0.6043811176227354,0.32099210149284385
13.500015,0.6116035,0.3151577,0.6070885971974278,0.3188374102806959
13.600016,0.6142611,0.3129164,0.609760561711062,0.31671011299809737
13.700016,0.6169282,0.3108197,0.6123976698572221,0.31460971486410283
13.800016,0.6197833,0.3086142,0.615000565448035,0.3125357508804
13.900017,0.6221115,0.306676,0.6175698777706004,0.31048776312313553
14.000017,0.6244814,0.3048679,0.6201062219369055,0.30846529294241865
14.100018,0.627312,0.3025347,0.6226101992270637,0.3064679029708228
14.200018,0.6295771,0.3006535,0.6250823974257593,0.3044951544351986
14.300018,0.6320173,0.2988998,0.6275233911518129,0.30254662917884845
14.400019,0.6345533,0.2967048,0.6299337421808132,0.30062190698715285
14.500019,0.6371274,0.294853,0.6323139997607834,0.2987205727224832
14.600019,0.639045,0.2932006,0.6346647009208775,0.2968422383672472
14.70002,0.641517,0.2912643,0.6369863707731171,0.29498651291982847
14.80002,0.6436123,0.2896018,0.6392795228072069,0.29315300209977146
14.900021,0.645852,0.2877311,0.6415446591784664,0.2913413378621703
15.000021,0.6482043,0.2860013,0.6437822709889471,0.2895511557648104
15.100021,0.6505124,0.2840507,0.6459928385618035,0.28778208724321663
15.200022,0.6525174,0.2825869,0.6481768317089992,0.2860337891452682
15.300022,0.6546207,0.280858,0.6503347099924435,0.2843059062171599
15.4000225,0.6566508,0.2792798,0.6524669229786524,0.2825981081016431
15.500023,0.6587032,0.2774567,0.6545739104870418,0.2809100592874103
15.600023,0.66086,0.2757945,0.6566561028319623,0.2792414263176407
15.700024,0.6627711,0.2741484,0.6587139210585866,0.2775919073564347
15.800024,0.6649491,0.2724733,0.6607477771727736,0.27596117980488566
15.900024,0.6665697,0.2711467,0.6627580743650197,0.2743489373300315
16.000025,0.6686642,0.2695705,0.6647452072286297,0.2727548896466836
16.100025,0.6707155,0.2678372,0.6667095619722226,0.2711787325025984
16.200026,0.6727195,0.2661869,0.6686515166267002,0.26962018472441185
16.300026,0.6745232,0.2647924,0.6705714412468031,0.2680789619390509
16.400026,0.6763678,0.2633743,0.6724696981073786,0.26655479127862736
16.500027,0.6779818,0.262085,0.6743466418944837,0.26504739628817264
16.600027,0.6799565,0.2605173,0.6762026198914478,0.2635565153660274
16.700027,0.6817059,0.2590308,0.6780379721600186,0.262081886681534
16.800028,0.6835659,0.2575587,0.679853031716711,0.2606232591745583
16.900028,0.6853475,0.2560953,0.6816481247044803,0.25918037748265543
17.000029,0.6870391,0.2547716,0.6834235705598384,0.25775300040040516
17.100029,0.6886884,0.2534145,0.6851796821755287,0.25634088581557524
17.20003,0.6901952,0.2522188,0.6869167660588766,0.2549437980013519
17.30003,0.6920913,0.2507112,0.688635122485927,0.25356150746220263
17.40003,0.6936564,0.2493857,0.6903350456514803,0.25219379078383897
17.50003,0.6952759,0.2480776,0.692016823815137,0.2508404193113024
17.60003,0.6969017,0.2469423,0.693680739443456,0.24950117763325652
17.700031,0.6983756,0.2458035,0.6953270693483321,0.24817585599302938
17.800032,0.7001134,0.2441699,0.6969560848216949,0.24686423897804355
17.900032,0.7015257,0.2430507,0.6985680517666294,0.2455661277404373
18.000032,0.7029797,0.2418978,0.7001632308250153,0.24428131379239315
18.100033,0.7046271,0.2407086,0.7017418775017817,0.2430096049589151
18.200033,0.706223,0.2393293,0.7033042422858687,0.24175080290512585
18.300034,0.7076016,0.2383002,0.7048505707679898,0.24050472164495496
18.400034,0.7090822,0.2370086,0.7063811037552793,0.23927116880004073
18.500034,0.7104761,0.2358573,0.7078960773829162,0.23804996783984766
18.600035,0.712207,0.2345158,0.709395723222805,0.23684093562124386
18.700035,0.7134878,0.233486,0.7108802683893972,0.23564389718384104
18.800035,0.7148913,0.2324585,0.7123499356427337,0.2344586744710807
18.900036,0.7163026,0.2312562,0.7138049434887843,0.2332851048563469
19.000036,0.7179059,0.2299771,0.7152455062771611,0.23212301496821985
19.100037,0.7191244,0.2289552,0.71667183429628,0.23097224667234695
19.200037,0.7207521,0.2276742,0.718084133866041,0.22983263462702086
19.300037,0.7219468,0.2267729,0.7194826074280962,0.22870402109407229
19.400038,0.7232768,0.2255919,0.7208674536337756,0.22758625585094472
19.500038,0.7246926,0.2244613,0.7222388674297339,0.22647918120388577
19.600039,0.7259991,0.2234586,0.723597040141384,0.2253826505309655
19.700039,0.7276326,0.2220558,0.7249421595541801,0.224296520750213
19.80004,0.7287689,0.2211038,0.7262744099928057,0.22322064106455697
19.90004,0.7299585,0.2201996,0.7275939723983341,0.2221548715111168
